Generator,p_nom_opt
PL1 0 retrofitting moderate residential urban decentral heat,9297.044436241222
PT1 0 retrofitting ambitious residential urban decentral heat,8.983549468493929e-07
PT1 0 retrofitting moderate residential urban decentral heat,1.4378526618924519e-06
RO1 0 retrofitting ambitious residential urban decentral heat,1478.4351743817938
RO1 0 retrofitting moderate residential urban decentral heat,4647.461205556315
RS1 0 retrofitting ambitious residential urban decentral heat,319.57893715470294
RS1 0 retrofitting moderate residential urban decentral heat,825.7004566984908
SE2 0 retrofitting ambitious residential urban decentral heat,0.0
SE2 0 retrofitting moderate residential urban decentral heat,0.007390528430957108
SI1 0 retrofitting ambitious residential urban decentral heat,175.8520698908521
SI1 0 retrofitting moderate residential urban decentral heat,499.31555762009884
SK1 0 retrofitting ambitious residential urban decentral heat,332.3358691339445
SK1 0 retrofitting moderate residential urban decentral heat,973.5704703553273
AL1 0 retrofitting ambitious services urban decentral heat,4.816353761206066e-06
AL1 0 retrofitting moderate services urban decentral heat,9.743284422147116e-06
AT1 0 retrofitting ambitious services urban decentral heat,0.0
AT1 0 retrofitting moderate services urban decentral heat,0.0001650830978190853
BA1 0 retrofitting ambitious services urban decentral heat,2.0778463594955333e-06
BA1 0 retrofitting moderate services urban decentral heat,3.971473230147026e-06
BE1 0 retrofitting ambitious services urban decentral heat,1202.8205591368087
BE1 0 retrofitting moderate services urban decentral heat,6392.06483931158
BG1 0 retrofitting ambitious services urban decentral heat,193.55866708054748
BG1 0 retrofitting moderate services urban decentral heat,390.8659217160915
CH1 0 retrofitting ambitious services urban decentral heat,0.0
CH1 0 retrofitting moderate services urban decentral heat,1999.0036539259165
CZ1 0 retrofitting ambitious services urban decentral heat,656.3594274763581
CZ1 0 retrofitting moderate services urban decentral heat,1224.6657496736846
DE1 0 retrofitting ambitious services urban decentral heat,1.770028663225242e-05
DE1 0 retrofitting moderate services urban decentral heat,0.10875457523096535
DE1 1 retrofitting ambitious services urban decentral heat,0.0007947555384668425
DE1 1 retrofitting moderate services urban decentral heat,0.028811657101712025
DE1 2 retrofitting ambitious services urban decentral heat,0.0011759987075126667
DE1 2 retrofitting moderate services urban decentral heat,0.020916506133116793
DE1 3 retrofitting ambitious services urban decentral heat,0.002253675657049074
DE1 3 retrofitting moderate services urban decentral heat,0.0024419736327077096
DE1 4 retrofitting ambitious services urban decentral heat,0.0012748536915430627
DE1 4 retrofitting moderate services urban decentral heat,2101.359174604765
DK1 0 retrofitting ambitious services urban decentral heat,0.0
DK1 0 retrofitting moderate services urban decentral heat,3.027650540874809e-06
DK2 0 retrofitting ambitious services urban decentral heat,0.0
DK2 0 retrofitting moderate services urban decentral heat,3.2179183409803553e-06
EE6 0 retrofitting ambitious services urban decentral heat,8.72143923514495e-07
EE6 0 retrofitting moderate services urban decentral heat,9.941131592268544e-07
ES1 0 retrofitting ambitious services urban decentral heat,2.6951434601566408e-05
ES1 0 retrofitting moderate services urban decentral heat,5332.008465321249
ES4 0 retrofitting ambitious services urban decentral heat,45.220399600355094
ES4 0 retrofitting moderate services urban decentral heat,196.9413847335911
FI2 0 retrofitting ambitious services urban decentral heat,0.0
FI2 0 retrofitting moderate services urban decentral heat,1187.2455717429336
FR1 0 retrofitting ambitious services urban decentral heat,779.0489717588151
FR1 0 retrofitting moderate services urban decentral heat,2464.2822436182446
FR1 1 retrofitting ambitious services urban decentral heat,2749.5364074640975
FR1 1 retrofitting moderate services urban decentral heat,8697.295062620185
FR1 2 retrofitting ambitious services urban decentral heat,1264.0598977597758
FR1 2 retrofitting moderate services urban decentral heat,3998.4578980116066
FR1 3 retrofitting ambitious services urban decentral heat,562.7760606130216
FR1 3 retrofitting moderate services urban decentral heat,1780.169625746554
FR1 4 retrofitting ambitious services urban decentral heat,1067.0076128623832
FR1 4 retrofitting moderate services urban decentral heat,3375.150478217558
GB0 0 retrofitting ambitious services urban decentral heat,0.00012805937164812094
GB0 0 retrofitting moderate services urban decentral heat,0.0006309369795021669
GB0 1 retrofitting ambitious services urban decentral heat,0.011962634066748336
GB0 1 retrofitting moderate services urban decentral heat,7083.863411235752
GB0 2 retrofitting ambitious services urban decentral heat,0.0003657353052067497
GB0 2 retrofitting moderate services urban decentral heat,0.011501068297060643
GB5 0 retrofitting ambitious services urban decentral heat,7.976110216458223e-06
GB5 0 retrofitting moderate services urban decentral heat,1.0534031285342675e-05
GR1 0 retrofitting ambitious services urban decentral heat,4.128327273183073e-06
GR1 0 retrofitting moderate services urban decentral heat,6.274342365656566e-06
HR1 0 retrofitting ambitious services urban decentral heat,85.42080759797832
HR1 0 retrofitting moderate services urban decentral heat,299.6997793582567
HU1 0 retrofitting ambitious services urban decentral heat,650.1045225976268
HU1 0 retrofitting moderate services urban decentral heat,1242.8637173099949
IE5 0 retrofitting ambitious services urban decentral heat,3.65425422968313e-06
IE5 0 retrofitting moderate services urban decentral heat,3.7581218026775613e-06
IT1 0 retrofitting ambitious services urban decentral heat,1452.105086414824
IT1 0 retrofitting moderate services urban decentral heat,5539.5119287375055
IT1 1 retrofitting ambitious services urban decentral heat,1285.5782044621133
IT1 1 retrofitting moderate services urban decentral heat,4904.241061670061
LT6 0 retrofitting ambitious services urban decentral heat,93.96840402088436
LT6 0 retrofitting moderate services urban decentral heat,129.46167080434245
LU1 0 retrofitting ambitious services urban decentral heat,88.18493070823605
LU1 0 retrofitting moderate services urban decentral heat,328.352511571519
LV6 0 retrofitting ambitious services urban decentral heat,116.93569365714625
LV6 0 retrofitting moderate services urban decentral heat,169.10609386384678
ME1 0 retrofitting ambitious services urban decentral heat,7.772110611354344e-07
ME1 0 retrofitting moderate services urban decentral heat,9.733101530063927e-07
MK1 0 retrofitting ambitious services urban decentral heat,3.3974866029462937e-06
MK1 0 retrofitting moderate services urban decentral heat,8.44214324048575e-06
NL1 0 retrofitting ambitious services urban decentral heat,2125.747019646262
NL1 0 retrofitting moderate services urban decentral heat,6361.70136274703
NO2 0 retrofitting ambitious services urban decentral heat,0.0
NO2 0 retrofitting moderate services urban decentral heat,0.005869539836244117
PL1 0 retrofitting ambitious services urban decentral heat,0.001999344644048846
PL1 0 retrofitting moderate services urban decentral heat,3253.9869633743456
PT1 0 retrofitting ambitious services urban decentral heat,3.052369942297324e-06
PT1 0 retrofitting moderate services urban decentral heat,4.69363179419864e-06
RO1 0 retrofitting ambitious services urban decentral heat,333.90017687160133
RO1 0 retrofitting moderate services urban decentral heat,921.0298496968904
RS1 0 retrofitting ambitious services urban decentral heat,88.85386195754558
RS1 0 retrofitting moderate services urban decentral heat,217.0966381992111
SE2 0 retrofitting ambitious services urban decentral heat,0.0
SE2 0 retrofitting moderate services urban decentral heat,0.0030863733326696122
SI1 0 retrofitting ambitious services urban decentral heat,2.660022230808952e-05
SI1 0 retrofitting moderate services urban decentral heat,133.26686369813774
SK1 0 retrofitting ambitious services urban decentral heat,333.6348967940962
SK1 0 retrofitting moderate services urban decentral heat,629.7777541474998
AT1 0 retrofitting ambitious urban central heat,4.262206096721503e-06
AT1 0 retrofitting moderate urban central heat,9.69889118987663e-06
BA1 0 retrofitting ambitious urban central heat,5.788263436758202e-06
BA1 0 retrofitting moderate urban central heat,7.98860527128873e-06
BE1 0 retrofitting ambitious urban central heat,2.5748953944019655e-05
BE1 0 retrofitting moderate urban central heat,0.0005114540722375918
BG1 0 retrofitting ambitious urban central heat,6.255533078096932e-06
BG1 0 retrofitting moderate urban central heat,7.564069421267412e-06
CH1 0 retrofitting ambitious urban central heat,0.0
CH1 0 retrofitting moderate urban central heat,5.810895216353643e-06
CZ1 0 retrofitting ambitious urban central heat,2.019663948078144e-05
CZ1 0 retrofitting moderate urban central heat,0.000897197390576937
DE1 0 retrofitting ambitious urban central heat,4.957983071344687e-06
DE1 0 retrofitting moderate urban central heat,5.629718616657822e-06
DE1 1 retrofitting ambitious urban central heat,3.4301045828920518e-06
DE1 1 retrofitting moderate urban central heat,3.725985134234458e-06
DE1 2 retrofitting ambitious urban central heat,5.454295620680209e-06
DE1 2 retrofitting moderate urban central heat,6.290117267730498e-06
DE1 3 retrofitting ambitious urban central heat,2.906017272133483e-06
DE1 3 retrofitting moderate urban central heat,3.1353219665042922e-06
DE1 4 retrofitting ambitious urban central heat,3.4715025433175494e-06
DE1 4 retrofitting moderate urban central heat,3.758479219618506e-06
DK1 0 retrofitting ambitious urban central heat,0.0
DK1 0 retrofitting moderate urban central heat,2.343521389331307e-06
DK2 0 retrofitting ambitious urban central heat,0.0
DK2 0 retrofitting moderate urban central heat,2.5074244720804814e-06
EE6 0 retrofitting ambitious urban central heat,2.4481833596987564e-06
EE6 0 retrofitting moderate urban central heat,2.7385413412908216e-06
FI2 0 retrofitting ambitious urban central heat,0.0
FI2 0 retrofitting moderate urban central heat,0.00029181173162532884
FR1 0 retrofitting ambitious urban central heat,6.500834482144369e-06
FR1 0 retrofitting moderate urban central heat,7.5864276040337116e-06
FR1 1 retrofitting ambitious urban central heat,4.506295885869367e-05
FR1 1 retrofitting moderate urban central heat,0.00011300064992274814
FR1 2 retrofitting ambitious urban central heat,7.4057125766338e-06
FR1 2 retrofitting moderate urban central heat,9.06732336182891e-06
FR1 3 retrofitting ambitious urban central heat,5.621922054365007e-06
FR1 3 retrofitting moderate urban central heat,6.563547494574832e-06
FR1 4 retrofitting ambitious urban central heat,7.042987077733663e-06
FR1 4 retrofitting moderate urban central heat,8.364711722786341e-06
GB0 0 retrofitting ambitious urban central heat,1.298079491556073e-06
GB0 0 retrofitting moderate urban central heat,1.8757150629654241e-06
GB0 1 retrofitting ambitious urban central heat,4.183460619095755e-06
GB0 1 retrofitting moderate urban central heat,4.601490825087092e-06
GB0 2 retrofitting ambitious urban central heat,3.64358531642441e-06
GB0 2 retrofitting moderate urban central heat,4.006291342403328e-06
GB5 0 retrofitting ambitious urban central heat,1.2018097250467127e-06
GB5 0 retrofitting moderate urban central heat,1.500923369758005e-06
GR1 0 retrofitting ambitious urban central heat,3.396324664774069e-06
GR1 0 retrofitting moderate urban central heat,4.242579937769478e-06
HR1 0 retrofitting ambitious urban central heat,5.4030530213636427e-05
HR1 0 retrofitting moderate urban central heat,9.708926233473924e-05
HU1 0 retrofitting ambitious urban central heat,9.171986627568941e-06
HU1 0 retrofitting moderate urban central heat,1.0725014794170168e-05
IT1 0 retrofitting ambitious urban central heat,4.913329868464969e-05
IT1 0 retrofitting moderate urban central heat,971.5648859023692
IT1 1 retrofitting ambitious urban central heat,7.225069237030662e-05
IT1 1 retrofitting moderate urban central heat,119.15595583832761
LT6 0 retrofitting ambitious urban central heat,7.01236018067965e-06
LT6 0 retrofitting moderate urban central heat,7.660033493889705e-06
LU1 0 retrofitting ambitious urban central heat,7.098675391719297e-06
